"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
126, 1.295000000000000e+00, 3.352697431866700e-01, 0.000000000000000e+00, 2.811333339759845e-04, 2.814147484189779e-07, 2.186361654531232e+00, 1.415159053537803e-04, 6.027178495949919e-06, 8.557272653824144e+03, 4.440578588437337e-04, 9.990000000010854e-01, 9.999999989146779e-04, 2.189699198746246e+01, 2.618998875426772e+02, 2.540349960327148e+02, 2.353654489211680e+01, 2.704942153146293e-04
127, 1.161892334304097e+00, 3.141875604517181e-01, 0.000000000000000e+00, 2.824703053535412e-04, 2.827530580811008e-07, 2.196755617619824e+00, 1.625348500051628e-04, 6.897925749912153e-06, 8.598058883717407e+03, 4.461739061616245e-04, 9.990000000011690e-01, 9.999999988310594e-04, 2.204870173309557e+01, 2.624662211474586e+02, 2.540349960327148e+02, 2.351109975215369e+01, 2.896918025255187e-04
128, 1.043936264910732e+00, 2.955051547717263e-01, 0.000000000000000e+00, 2.822698237450523e-04, 2.825523758011413e-07, 2.195196975425592e+00, 1.592857714204185e-04, 6.744598152537918e-06, 8.591942371688398e+03, 4.458565960578910e-04, 9.990000000011315e-01, 9.999999988684852e-04, 2.202588246629822e+01, 2.623808053791662e+02, 2.540349960327148e+02, 2.351493162420318e+01, 2.868042170075119e-04
129, 9.394022207746211e-01, 2.789485890098729e-01, 0.000000000000000e+00, 2.820518553476275e-04, 2.823341892274180e-07, 2.193502376106130e+00, 1.557890737281914e-04, 6.581286785542861e-06, 8.585292356963893e+03, 4.455116102106361e-04, 9.990000000010961e-01, 9.999999989040050e-04, 2.200109362628461e+01, 2.622880496550258e+02, 2.540349960327148e+02, 2.351909484409109e+01, 2.836673986308669e-04
130, 8.467574358675809e-01, 2.642750968812325e-01, 0.000000000000000e+00, 2.818151796102188e-04, 2.820972765872195e-07, 2.191662328731673e+00, 1.520351981862349e-04, 6.407887591552600e-06, 8.578071601504202e+03, 4.451370171420436e-04, 9.990000000010619e-01, 9.999999989380027e-04, 2.197420172696783e+01, 2.621874625190673e+02, 2.540349960327148e+02, 2.352361199976285e+01, 2.802644558584964e-04
131, 7.646434744745524e-01, 2.512695233094326e-01, 0.000000000000000e+00, 2.815585489312137e-04, 2.818403890301802e-07, 2.189667131737989e+00, 1.480161261649276e-04, 6.224359162499723e-06, 8.570242041794903e+03, 4.447308426191274e-04, 9.990000000010293e-01, 9.999999989708228e-04, 2.194507115449728e+01, 2.620785458938865e+02, 2.540349960327148e+02, 2.352850607099982e+01, 2.765782279027858e-04
132, 6.918563126672260e-01, 2.397411696420615e-01, 0.000000000000000e+00, 2.812807151824534e-04, 2.815622771788500e-07, 2.187507079105485e+00, 1.437260322567617e-04, 6.030736233098091e-06, 8.561765598068563e+03, 4.442911116404595e-04, 9.990000000009972e-01, 9.999999990027706e-04, 2.191356728373478e+01, 2.619608068563372e+02, 2.540349960327148e+02, 2.353379991100614e+01, 2.725916790893278e-04
133, 6.273286838930814e-01, 2.295209974667221e-01, 0.000000000000000e+00, 2.809804665413395e-04, 2.812617279976706e-07, 2.185172746687733e+00, 1.391620643612004e-04, 5.827148258851402e-06, 8.552605298038412e+03, 4.438159067367517e-04, 9.990000000009660e-01, 9.999999990341149e-04, 2.187956074777538e+01, 2.618337736894823e+02, 2.540349960327148e+02, 2.353951553422109e+01, 2.682884391287275e-04
134, 5.701144298160306e-01, 2.204591500277321e-01, 0.000000000000000e+00, 2.806566759073261e-04, 2.809376132579318e-07, 2.182655368618359e+00, 1.343252364806739e-04, 5.613843437164051e-06, 8.542726754089697e+03, 4.433034446043070e-04, 9.990000000009349e-01, 9.999999990650871e-04, 2.184293298876017e+01, 2.616970166645538e+02, 2.540349960327148e+02, 2.354567318832797e+01, 2.636535055250920e-04
135, 5.193746269475402e-01, 2.124227549004011e-01, 0.000000000000000e+00, 2.803083617811788e-04, 2.805889504779714e-07, 2.179947310633206e+00, 1.292214036388284e-04, 5.391217843918465e-06, 8.532100020734180e+03, 4.427521724602536e-04, 9.990000000009041e-01, 9.999999990958825e-04, 2.180358316806011e+01, 2.615501738122378e+02, 2.540349960327148e+02, 2.355229019667107e+01, 2.586741180014380e-04
136, 4.743652856452280e-01, 2.052939757038445e-01, 0.000000000000000e+00, 2.799347619123805e-04, 2.802149766443012e-07, 2.177042642691263e+00, 1.238622695889867e-04, 5.159848500755776e-06, 8.520701841650894e+03, 4.421608846012573e-04, 9.990000000008733e-01, 9.999999991266576e-04, 2.176143644407141e+01, 2.613929816758418e+02, 2.540349960327148e+02, 2.355937956879728e+01, 2.533408059847981e-04
137, 4.344264411113166e-01, 1.989682842849117e-01, 0.000000000000000e+00, 2.795354192871631e-04, 2.798152342857125e-07, 2.173937807583880e+00, 1.182663592286063e-04, 4.920528170020451e-06, 8.508518273297554e+03, 4.415288584871736e-04, 9.990000000008424e-01, 9.999999991575283e-04, 2.171645353881931e+01, 2.612253107101542e+02, 2.540349960327148e+02, 2.356694839124758e+01, 2.476485991791476e-04
138, 3.989724764339914e-01, 1.933529280385366e-01, 0.000000000000000e+00, 2.791102806685690e-04, 2.793896701119745e-07, 2.170632387294335e+00, 1.124599038105823e-04, 4.674296851229010e-06, 8.495547692362845e+03, 4.408560106816546e-04, 9.990000000008114e-01, 9.999999991885653e-04, 2.166864157726724e+01, 2.610472051709003e+02, 2.540349960327148e+02, 2.357499600335487e+01, 2.415983991884411e-04
139, 3.674835357799593e-01, 1.883655698910727e-01, 0.000000000000000e+00, 2.786598710157375e-04, 2.789388096076728e-07, 2.167130462705770e+00, 1.064783791862468e-04, 4.422417849450046e-06, 8.481806143011683e+03, 4.401431728434276e-04, 9.990000000007804e-01, 9.999999992196412e-04, 2.161807283043148e+01, 2.608589484860743e+02, 2.540349960327148e+02, 2.358351103917499e+01, 2.351993512995017e-04
140, 3.394979018312223e-01, 1.839330810049055e-01, 0.000000000000000e+00, 2.781801658755262e-04, 2.784586242911826e-07, 2.163400721109650e+00, 1.003003971791609e-04, 4.163788486620403e-06, 8.467170710920771e+03, 4.393839768037945e-04, 9.990000000007492e-01, 9.999999992507513e-04, 2.156431303609356e+01, 2.606589618858326e+02, 2.540349960327148e+02, 2.359256629781175e+01, 2.283965032956718e-04
141, 3.146052256976335e-01, 1.799904685019620e-01, 0.000000000000000e+00, 2.776883860465504e-04, 2.779663521999310e-07, 2.159577050475605e+00, 9.416695184444322e-05, 3.910136870755895e-06, 8.452166781063712e+03, 4.386056775161800e-04, 9.990000000007152e-01, 9.999999992847358e-04, 2.150930423698741e+01, 2.604544857373751e+02, 2.540349960327148e+02, 2.360183516163063e+01, 2.214356042855286e-04
142, 2.924405100365236e-01, 1.764799224834981e-01, 0.000000000000000e+00, 2.772032855194937e-04, 2.774807660969096e-07, 2.155805288584465e+00, 8.831612432005597e-05, 3.670378715660171e-06, 8.437366697679843e+03, 4.378379552986769e-04, 9.990000000006799e-01, 9.999999993200212e-04, 2.145514286280289e+01, 2.602532926284348e+02, 2.540349960327148e+02, 2.361096565782784e+01, 2.145819397432165e-04
143, 2.726787571548399e-01, 1.733499683727677e-01, 0.000000000000000e+00, 2.767227445091829e-04, 2.769997440747514e-07, 2.152068954234368e+00, 8.271687409763184e-05, 3.442229450423902e-06, 8.422705781734303e+03, 4.370774551183910e-04, 9.990000000006444e-01, 9.999999993555726e-04, 2.140158807759938e+01, 2.600544800611414e+02, 2.540349960327148e+02, 2.361999831921362e+01, 2.078050339141652e-04
144, 2.550302036197720e-01, 1.705547121515077e-01, 0.000000000000000e+00, 2.762460008501819e-04, 2.765225232048876e-07, 2.148362121712237e+00, 7.735601002586013e-05, 3.224415576908929e-06, 8.408160774857486e+03, 4.363229705927727e-04, 9.990000000006094e-01, 9.999999993906493e-04, 2.134855180193606e+01, 2.598577151380017e+02, 2.540349960327148e+02, 2.362894794464503e+01, 2.010937410889192e-04
145, 2.392360715037206e-01, 1.680531674232628e-01, 0.000000000000000e+00, 2.757739470886844e-04, 2.760499969268019e-07, 2.144691731568228e+00, 7.223866368044974e-05, 3.016646916599186e-06, 8.393758905660818e+03, 4.355759140646855e-04, 9.990000000005753e-01, 9.999999994247083e-04, 2.129613023171048e+01, 2.596633491188755e+02, 2.540349960327148e+02, 2.363779823747243e+01, 1.944602340459953e-04
146, 2.250647739647891e-01, 1.658086544363873e-01, 0.000000000000000e+00, 2.753090600171077e-04, 2.755846445120705e-07, 2.141077043148021e+00, 6.738440721849485e-05, 2.819410763967605e-06, 8.379575739232170e+03, 4.348402049848656e-04, 9.990000000005428e-01, 9.999999994573384e-04, 2.124459441584310e+01, 2.594723804418187e+02, 2.540349960327148e+02, 2.364650332152340e+01, 1.879388117374307e-04
147, 2.123085195258328e-01, 1.637882622546927e-01, 0.000000000000000e+00, 2.748553165715796e-04, 2.751304468776503e-07, 2.137548981021676e+00, 6.282356671136829e-05, 2.633781163419131e-06, 8.365732610507235e+03, 4.341221367239485e-04, 9.990000000005118e-01, 9.999999994882173e-04, 2.119437950878199e+01, 2.592864132043394e+02, 2.540349960327148e+02, 2.365498948235055e+01, 1.815845392840068e-04
148, 2.007802652611475e-01, 1.619623661896356e-01, 0.000000000000000e+00, 2.744180790490282e-04, 2.746927716880614e-07, 2.134149242758519e+00, 5.859370612115031e-05, 2.461241344544090e-06, 8.352393121467770e+03, 4.334301948466149e-04, 9.990000000004828e-01, 9.999999995170790e-04, 2.114607087656817e+01, 2.591076044152607e+02, 2.540349960327148e+02, 2.366315744588490e+01, 1.754714898151459e-04
149, 1.903109742158616e-01, 1.603041934182315e-01, 0.000000000000000e+00, 2.740039343730816e-04, 2.742782124603877e-07, 2.130929049271017e+00, 5.473635815368548e-05, 2.303521298099538e-06, 8.339758236234367e+03, 4.327748026882577e-04, 9.990000000004564e-01, 9.999999995436960e-04, 2.110038547381716e+01, 2.589385942468509e+02, 2.540349960327148e+02, 2.367088546937393e+01, 1.696903878831834e-04
150, 1.807471368440085e-01, 1.587894304174182e-01, 0.000000000000000e+00, 2.736204757150240e-04, 2.738943699666321e-07, 2.127947446763833e+00, 5.129415390632081e-05, 2.162455780465019e-06, 8.328059617304858e+03, 4.321679757368003e-04, 9.990000000004322e-01, 9.999999995678678e-04, 2.105814732541944e+01, 2.587824150605931e+02, 2.540349960327148e+02, 2.367803345154522e+01, 1.643455068796073e-04
